"","last_name","tot_no_cases","n_rapporteur","female","years_court"
"1","Arabadjiev",1350,268,0,15
"2","Arestis",934,186,0,10
"3","Bay Larsen",1345,244,0,16
"4","Berger",907,194,1,10
"5","Biltgen",787,138,0,9
"6","Bonichot",1460,257,0,16
"7","Borg Barthet",1331,286,0,14
"8","Cardoso da Silva Piçarra",192,16,0,4
"9","Colneric",704,129,1,6
"10","da Cruz Vilaça",586,116,0,6
"11","da Cunha Rodrigues",1260,233,0,12
"12","de Carvalho Moitinho de Almeida",98,30,0,14
"13","Edward",541,97,0,12
"14","Fernlund",898,202,0,8
"15","Gulmann",757,162,0,12
"16","Hirsch",87,18,0,6
"17","Ilešič",1489,317,0,18
"18","Jääskinen",104,0,0,3
"19","Jann",1306,217,0,14
"20","Jarašiūnas",850,170,0,8
"21","Jarukaitis",227,23,0,4
"22","Juhász",1593,298,0,17
"23","Jürimäe",724,130,1,9
"24","Kapteyn",111,24,0,10
"25","Kasel",469,90,0,5
"26","Klučka",445,89,0,5
"27","Kumin",124,0,0,3
"28","Kūris",510,109,0,8
"29","La Pergola",524,75,0,12
"30","Lenaerts",1599,172,0,19
"31","Levits",1348,264,0,15
"32","Lindh",383,97,1,5
"33","Lõhmus",825,164,0,9
"34","Lycourgos",674,114,0,8
"35","Makarczyk",371,73,0,5
"36","Malenovský",1633,306,0,16
"37","Ó Caoimh",1024,241,0,11
"38","O'Kelly Macken",579,107,1,5
"39","Prechal",968,184,1,12
"40","Puissochet",886,148,0,12
"41","Ragnemalm",123,22,0,5
"42","Regan",504,90,0,7
"43","Rodin",791,134,0,9
"44","Rodrìguez Iglesias",239,0,0,17
"45","Rosas",1974,342,0,17
"46","Rossi",210,21,1,4
"47","Safjan",1192,218,0,13
"48","Schiemann",733,169,0,8
"49","Schintgen",965,198,0,12
"50","Sevón",290,57,0,7
"51","Silva de Lapuerta",1713,316,1,18
"52","Skouris",1109,76,0,16
"53","Šváby",1144,213,0,12
"54","Timmermans",1079,145,0,10
"55","Tizzano",1030,162,0,12
"56","Toader",1439,337,1,14
"57","Vajda",740,137,0,8
"58","Vilaras",518,108,0,6
"59","von Bahr",683,125,0,6
"60","von Danwitz",1226,234,0,16
"61","Wahl",56,0,0,3
"62","Wathelet",508,111,0,8
"63","Xuereb",180,0,0,4
